Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
Washington State Senate Joint Resolution No. 8201,Approved, ,63172,54.3738,State Executive
Washington State Senate Joint Resolution No. 8201,Rejected, ,53009,45.6262,State Executive
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,(Prefers Republican Party),17958,92.9551,County
COUNTY COUNCIL DISTRICT 1 Council District 1,WRITE-IN, ,1361,7.0449,County
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,(Prefers Democratic Party),16551,95.4829,County
COUNTY COUNCIL DISTRICT 4 Council District 4,WRITE-IN, ,783,4.5171,County
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,(Prefers Republican Party),14222,53.9837,County
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,(Prefers Democratic Party),12093,45.9024,County
COUNTY COUNCIL DISTRICT 5 Council District 5,WRITE-IN, ,30,0.1139,County
COUNTY COUNCIL DISTRICT 1 Charter Review Commissioner District 1,Annie Fitzgerald, ,6008,12.1671,County
COUNTY COUNCIL DISTRICT 1 Charter Review Commissioner District 1,Mark James, ,9605,19.4516,County
COUNTY COUNCIL DISTRICT 1 Charter Review Commissioner District 1,John W. Snow, ,6462,13.0865,County
COUNTY COUNCIL DISTRICT 1 Charter Review Commissioner District 1,Brenden Lawton, ,3263,6.6081,County
COUNTY COUNCIL DISTRICT 1 Charter Review Commissioner District 1,Kathryn Lewandowsky, ,5459,11.0553,County
COUNTY COUNCIL DISTRICT 1 Charter Review Commissioner District 1,Don Vanney, ,7241,14.6641,County
COUNTY COUNCIL DISTRICT 1 Charter Review Commissioner District 1,Chris Gardner, ,3098,6.2739,County
COUNTY COUNCIL DISTRICT 1 Charter Review Commissioner District 1,Rob Toyer, ,8112,16.428,County
COUNTY COUNCIL DISTRICT 1 Charter Review Commissioner District 1,WRITE-IN, ,131,0.2653,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,Grant Harrington, ,2674,5.3201,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,Kelly Fox, ,1437,2.859,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,Christopher Fergeson, ,686,1.3648,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,Shari Ireton, ,3578,7.1187,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,James Stegenga, ,429,0.8535,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,Michael (Mike) Dixon, ,4730,9.4107,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,Demi Chatters, ,5698,11.3366,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,Charles Adkins, ,3712,7.3853,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,Joe Marine, ,4780,9.5102,County
COUNTY COUNCIL DISTRICT 2 Charter Review Commissioner District 2,Jason Moon, ,3803,7.5664,County
